id,full_name,party,gender,state,congressional terminology_x,congressional terminology_y,government budget_x,government budget_y,agriculture_x,agriculture_y,border enforcement_x,border enforcement_y,trade policy_x,trade policy_y,military_x,military_y,foreign policy_x,foreign policy_y,financial sector_x,financial sector_y,iraq & afghanistan wars_x,iraq & afghanistan wars_y,sports_x,sports_y,drugs war_x,drugs war_y,veteran affairs_x,veteran affairs_y,energy policy_x,energy policy_y,tobacco_x,tobacco_y,african-americans_x,african-americans_y,environment_x,environment_y,infrastructure & transportation_x,infrastructure & transportation_y,arts_x,arts_y,human rights in china_x,human rights in china_y,secondary education_x,secondary education_y,homeland security_x,homeland security_y,natural disasters_x,natural disasters_y,affordable housing_x,affordable housing_y,worker's rights_x,worker's rights_y,child welfare_x,child welfare_y,healthcare_x,healthcare_y
A000014,Neil Abercrombie,Democrat,0,HI,-26.103,34.714,-14.604,6.246,-100.944,0.758,-33.099,2.328,-23.893,1.587,-3.000,14.357,-4.999,7.504,-147.342,0.335,-7.885,1.763,-202.758,0.479,-412.555,0.185,-13.315,4.956,-94.229,1.408,-11.840,0.208,-37.771,3.669,-21.554,2.508,-149.589,0.656,-1012.840,0.000,-75.822,1.078,-78.830,1.127,-45.229,1.694,-33.123,0.397,-168.854,0.678,-116.590,1.503,-263.309,0.647,-16.106,8.993
A000022,Gary Ackerman,Democrat,0,NY,-5.000,12.214,-16.363,0.602,-63.595,1.471,-17.890,1.836,-7.859,3.310,-60.216,2.597,-3.000,17.786,-80.462,0.935,-17.603,1.987,-143.508,0.975,-14.717,0.627,-29.981,6.214,-54.358,0.492,-106.205,0.321,-14.335,4.877,-80.267,1.318,-27.195,0.740,-481.070,0.388,-26.864,1.838,-32.410,2.039,-70.717,2.880,-73.510,1.364,-527.209,0.219,-155.999,0.919,-83.742,0.832,-27.942,8.571
A000069,Daniel Akaka,Democrat,0,HI,-8.999,39.857,-19.324,0.000,-48.869,0.828,-146.647,0.472,-7.733,0.276,-74.857,0.656,-41.689,3.266,-28.908,0.085,-131.335,0.533,-22.127,0.000,-264.864,0.371,-1.498,9.020,-26.903,0.750,-81.792,0.000,-10.671,0.198,-1.000,6.643,-1.000,6.221,-80.862,0.107,-121.477,0.000,-27.315,0.000,-5.000,13.286,-58.042,0.735,-31.979,0.117,-136.114,0.407,-12.955,0.000,-1.000,19.500
A000209,Michael Andrews,Democrat,0,TX,-16.998,21.000,-39.713,4.126,-94.713,0.220,-13.206,2.218,-1.000,10.071,-34.956,1.186,-54.789,2.151,-12.707,3.577,-21.452,2.217,-47.648,0.373,-462.312,0.146,-9.677,3.523,-24.145,2.054,-650.811,0.000,-3.000,19.500,-18.006,3.906,-114.585,1.525,-949.436,0.000,-124.711,0.858,-3.506,2.080,-26.723,0.453,-82.297,1.317,-14.532,1.629,-6.248,2.656,-66.185,0.207,-1.000,49.071
A000210,Robert Andrews,Democrat,0,NJ,-1.000,36.214,-2.903,6.909,-12.828,0.584,-39.786,0.764,-55.078,1.301,-25.533,4.363,-2.789,6.288,-106.590,1.348,-16.071,1.653,-55.704,1.110,-128.667,0.231,-11.562,5.333,-35.094,1.072,-120.063,0.321,-41.591,2.324,-54.255,0.598,-28.188,0.926,-115.205,0.343,-229.154,0.553,-2.850,3.499,-11.169,3.001,-124.377,0.950,-449.028,0.145,-34.938,3.128,-66.091,1.233,-20.998,15.429
A000211,Thomas Andrews,Democrat,0,ME,-6.999,20.357,-12.975,9.639,-63.934,0.628,-2.696,0.159,-1.978,4.325,-1.000,33.857,-27.438,2.058,-39.418,0.000,-174.168,0.755,-120.839,0.627,-4.295,0.335,-25.622,0.855,-142.429,0.000,-4.359,0.199,-1.000,2.898,-17.837,1.639,-35.851,3.015,-151.961,0.000,-6.999,0.000,-71.552,0.376,-7.994,0.000,-42.981,1.825,-100.637,0.492,-101.221,0.977,-6.949,0.000,-25.809,2.960
A000214,Douglas Applegate,Democrat,0,OH,-12.452,18.648,-30.488,2.877,-251.729,0.579,-60.718,2.261,-24.498,3.857,-47.879,1.126,-37.297,0.377,-5.648,0.110,-50.633,0.350,-106.693,0.342,-100.814,0.502,-6.607,8.321,-21.655,0.749,-4.859,0.000,-22.521,6.430,-30.757,3.638,-4.999,6.000,-4.450,0.102,-58.522,1.381,-51.466,0.000,-63.803,0.129,-276.749,0.455,-4.468,0.084,-77.108,0.595,-2.906,0.000,-2.999,0.214
A000357,Thomas Allen,Democrat,0,ME,-1.000,19.515,-12.999,11.571,-113.793,1.056,-50.111,0.700,-21.083,2.619,-8.999,8.571,-24.997,2.055,-25.833,0.798,-38.933,2.566,-56.649,0.180,-77.975,0.482,-14.924,1.917,-27.337,2.924,-400.612,0.371,-27.377,0.765,-25.009,3.664,-36.199,0.926,-763.177,0.000,-34.792,0.198,-56.574,1.974,-1.853,1.468,-19.711,1.096,-44.214,0.727,-23.577,1.960,-11.468,2.281,-3.000,56.143
A000362,Jason Altmire,Democrat,0,PA,-12.554,10.366,-1.000,13.286,-273.169,0.244,-61.336,1.113,-88.802,0.545,-27.666,2.485,-66.714,0.387,-73.419,1.571,-8.452,2.922,-17.458,2.614,-202.643,0.208,-2.985,9.631,-1.000,6.857,-531.427,0.371,-37.205,2.391,-144.788,0.854,-2.762,2.536,-533.648,0.000,-505.323,0.185,-74.541,1.764,-19.624,2.762,-144.788,0.641,-165.596,0.431,-11.343,1.675,-139.257,1.091,-9.000,21.857
A000363,Michael Arcuri,Democrat,0,NY,-18.455,33.214,-5.290,3.438,-7.665,0.912,-116.328,0.043,-192.041,0.215,-12.399,4.523,-79.736,0.584,-74.126,1.772,-21.158,2.964,-20.750,2.732,-570.618,0.307,-11.406,7.083,-16.965,4.072,-239.364,0.000,-46.333,1.431,-9.171,2.781,-11.334,3.316,-253.703,0.000,-210.894,0.000,-147.154,1.071,-3.000,9.216,-128.043,0.941,-24.986,1.221,-48.371,2.234,-183.663,0.586,-27.177,6.910
