Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]","2025 [YR2025]"
Afghanistan,"AFG","Population, total","SP.POP.TOTL","8994793","9164945","9343772","9531555","9728645","9935358","10148841","10368600","10599790","10849510","11121097","11412821","11716896","12022514","12315553","12582954","12831361","13056499","13222547","13283279","13211412","12996923","12667001","12279095","11912510","11630498","11438949","11337932","11375768","11608351","12067570","12789374","13745630","14824371","15869967","16772522","17481800","18034130","18511480","19038420","19701940","20531160","21487079","22507368","23499850","24399948","25183615","25877544","26528741","27207291","27962207","28809167","29726803","30682500","31627506","32526562","33370000","34169000","34936000","35689000","36443000","37199000","37954000","38705000","39454000","40197000"
Albania,"ALB","Population, total","SP.POP.TOTL","1608800","1659800","1711319","1762621","1814135","1864791","1914573","1965598","2022272","2081695","2135479","2187853","2243126","2296752","2350124","2404831","2458526","2513546","2566266","2617832","2671997","2726056","2784278","2843960","2904429","2964762","3022635","3083605","3142336","3227943","3286542","3266790","3247039","3227287","3207536","3187784","3168033","3148281","3128530","3108778","3089027","3060173","3051010","3039616","3026939","3011487","2992547","2970017","2947314","2927519","2913021","2904780","2900247","2896652","2893654","2889167","2897000","2905000","2913000","2921000","2928000","2935000","2941000","2946000","2950000","2953000"
Algeria,"DZA","Population, total","SP.POP.TOTL","11124892","11404859","11690152","11985130","12295973","12626953","12980269","13354197","13744383","14144437","14550033","14960111","15377095","15804428","16247113","16709098","17190236","17690184","18212331","18760761","19337723","19943667","20575701","21228288","21893857","22565908","23241276","23917889","24591493","25257671","25912364","26554277","27180921","27785977","28362015","28904300","29411839","29887717","30336880","30766551","31183658","31590320","31990387","32394886","32817225","33267887","33749328","34261971","34811059","35401790","36036159","36717132","37439427","38186135","38934334","39666519","40376000","41064000","41730000","42377000","43008000","43620000","44211000","44782000","45333000","45865000"
American Samoa,"ASM","Population, total","SP.POP.TOTL","20012","20478","21118","21883","22701","23518","24320","25116","25886","26615","27292","27916","28490","29014","29491","29932","30325","30690","31105","31670","32456","33488","34740","36165","37687","39247","40835","42448","44049","45591","47044","48379","49597","50725","51807","52874","53926","54942","55899","56768","57522","58176","58729","59117","59262","59117","58648","57904","57031","56226","55636","55316","55227","55302","55434","55538","56000","56000","56000","56000","56000","56000","56000","56000","56000","57000"
Andorra,"ADO","Population, total","SP.POP.TOTL","13414","14376","15376","16410","17470","18551","19646","20755","21888","23061","24279","25560","26892","28231","29514","30706","31781","32769","33746","34819","36063","37502","39112","40862","42704","44597","46515","48458","50431","52449","54511","56674","58904","61003","62707","63854","64291","64147","63888","64161","65399","67770","71046","74783","78337","81223","83373","84878","85616","85474","84419","82326","79316","75902","72786","70473","69000","69000","69000","69000","70000","70000","70000","70000","70000","70000"
Angola,"AGO","Population, total","SP.POP.TOTL","5270844","5367287","5465905","5565808","5665701","5765025","5863568","5962831","6066094","6177703","6300969","6437645","6587647","6750215","6923749","7107334","7299508","7501320","7717139","7952882","8211950","8497950","8807511","9128655","9444918","9745209","10023700","10285712","10544904","10820992","11127870","11472173","11848971","12246786","12648483","13042666","13424813","13801868","14187710","14601983","15058638","15562791","16109696","16691395","17295500","17912942","18541467","19183907","19842251","20520103","21219954","21942296","22685632","23448202","24227524","25021974","25831000","26656000","27498000","28360000","29245000","30154000","31085000","32039000","33016000","34016000"
Antigua and Barbuda,"ATG","Population, total","SP.POP.TOTL","54681","55403","56311","57368","58500","59653","60818","62002","63176","64307","65369","66338","67205","67972","68655","69253","69782","70223","70508","70553","70301","69750","68950","67958","66863","65744","64605","63484","62538","61967","61906","62412","63434","64868","66550","68349","70245","72232","74206","76041","77648","78972","80030","80904","81718","82565","83467","84397","85350","86300","87233","88152","89069","89985","90900","91818","93000","94000","95000","95000","96000","97000","98000","99000","100000","101000"
Arab World,"ARB","Population, total","SP.POP.TOTL","92540534","95077992","97711191","100439395","103263656","106184090","109210743","112342573","115557094","118823872","122128175","125439089","128801209","132298955","136044481","140114424","144542039","149296257","154303887","159455867","164670713","169926632","175237742","180606318","186005735","191564251","197202142","202851923","208546282","214250542","222117305","228171034","232417246","238628852","244893420","252591048","258423164","264153948","269795252","275503565","281326250","287291826","293402563","299731956","306387415","313430911","320906736","328766559","336886468","345054176","353112237","361031820","368802611","376504253","384222592","392022276","399904000","407834000","415808000","423816000","431839000","439881000","447938000","455980000","463973000","471892000"
Argentina,"ARG","Population, total","SP.POP.TOTL","20619075","20953079","21287682","21621845","21953926","22283389","22608747","22932201","23261273","23605992","23973062","24366442","24782950","25213388","25644505","26066975","26477153","26878567","27277742","27684530","28105889","28543366","28993989","29454739","29920907","30388781","30857242","31326473","31795515","32263559","32729740","33193920","33655149","34110912","34558114","34994818","35419683","35833965","36241578","36648054","37057453","37471535","37889443","38309475","38728778","39145491","39558750","39969903","40381860","40798641","41222875","41655616","42095224","42538304","42980026","43416755","43847000","44272000","44692000","45106000","45517000","45923000","46324000","46721000","47113000","47500000"
Armenia,"ARM","Population, total","SP.POP.TOTL","1867396","1934239","2002170","2070427","2138133","2204650","2269475","2332624","2394635","2456370","2518408","2580894","2643464","2705584","2766495","2825650","2882831","2938181","2991954","3044564","3096298","3145885","3192877","3239212","3287588","3339147","3396511","3457054","3510439","3542720","3544695","3511912","3449497","3369673","3289943","3223173","3173425","3137652","3112958","3093820","3076098","3060036","3047249","3036420","3025982","3014917","3002161","2988117","2975029","2966108","2963496","2967984","2978339","2992192","3006154","3017712","3026000","3032000","3035000","3037000","3038000","3038000","3038000","3036000","3033000","3029000"
