full_name,Party,is_female,0,3,4,5,6,7,9,18,19,20,21,23,25,26,27,29,30,32,33,35,36,39,41,42,43,44,45,46,47,49,60,62,63,64,65,68,69,70,71,72,73,74,76,78,79,84,85,86,87,92,95,99
Diane Abbott,Labour,True,0.004,0.085,0.013,0.001,0.032,0.032,0.004,0.002,0.033,0.010,0.016,0.006,0.015,0.004,0.002,0.006,0.004,0.021,0.042,0.007,0.009,0.038,0.002,0.004,0.003,0.010,0.014,0.016,0.038,0.008,0.015,0.030,0.020,0.005,0.014,0.007,0.003,0.032,0.026,0.014,0.011,0.034,0.004,0.016,0.015,0.008,0.019,0.016,0.010,0.002,0.046,0.031
Irene Adams,Labour,True,0.005,0.005,0.001,0.001,0.037,0.014,0.008,0.002,0.029,0.010,0.055,0.012,0.041,0.003,0.059,0.002,0.004,0.055,0.003,0.003,0.007,0.014,0.000,0.001,0.001,0.023,0.009,0.014,0.040,0.007,0.010,0.014,0.017,0.012,0.040,0.006,0.011,0.033,0.006,0.006,0.013,0.018,0.002,0.040,0.004,0.012,0.002,0.008,0.022,0.001,0.024,0.033
Nick Ainger,Labour,False,0.005,0.001,0.002,0.000,0.007,0.008,0.012,0.002,0.007,0.020,0.037,0.016,0.007,0.013,0.004,0.041,0.070,0.004,0.005,0.012,0.021,0.031,0.032,0.003,0.005,0.023,0.016,0.021,0.033,0.012,0.011,0.032,0.067,0.010,0.004,0.033,0.052,0.008,0.006,0.006,0.031,0.014,0.001,0.005,0.014,0.022,0.008,0.007,0.012,0.001,0.016,0.004
Bob Ainsworth,Labour,False,0.004,0.005,0.028,0.000,0.016,0.003,0.004,0.000,0.027,0.036,0.012,0.012,0.040,0.002,0.003,0.028,0.002,0.034,0.042,0.013,0.011,0.007,0.001,0.001,0.004,0.005,0.013,0.007,0.015,0.008,0.019,0.034,0.024,0.004,0.006,0.049,0.010,0.013,0.013,0.003,0.031,0.020,0.002,0.003,0.019,0.233,0.008,0.003,0.009,0.002,0.040,0.003
Richard Allan,Liberal Democrat,False,0.022,0.034,0.033,0.000,0.015,0.003,0.008,0.012,0.026,0.005,0.007,0.021,0.023,0.002,0.002,0.027,0.003,0.009,0.018,0.013,0.024,0.005,0.001,0.001,0.002,0.006,0.006,0.019,0.019,0.006,0.010,0.103,0.090,0.010,0.048,0.035,0.013,0.013,0.023,0.028,0.013,0.006,0.003,0.010,0.013,0.003,0.001,0.019,0.013,0.001,0.039,0.007
Graham Allen,Labour,False,0.008,0.018,0.006,0.000,0.018,0.007,0.008,0.012,0.013,0.014,0.019,0.020,0.020,0.005,0.014,0.007,0.004,0.009,0.015,0.008,0.016,0.009,0.001,0.004,0.003,0.004,0.017,0.038,0.024,0.004,0.006,0.048,0.063,0.012,0.044,0.032,0.008,0.017,0.026,0.025,0.014,0.026,0.010,0.013,0.020,0.004,0.009,0.071,0.013,0.001,0.066,0.025
David Amess,Conservative,False,0.005,0.007,0.003,0.001,0.019,0.004,0.005,0.010,0.024,0.013,0.033,0.027,0.013,0.005,0.002,0.009,0.005,0.022,0.022,0.009,0.012,0.048,0.005,0.001,0.003,0.011,0.015,0.009,0.041,0.023,0.006,0.021,0.015,0.008,0.017,0.014,0.006,0.011,0.010,0.027,0.018,0.011,0.004,0.047,0.005,0.003,0.006,0.015,0.012,0.002,0.050,0.022
Michael Ancram,Conservative,False,0.003,0.003,0.004,0.000,0.035,0.002,0.012,0.002,0.003,0.035,0.029,0.048,0.007,0.002,0.041,0.048,0.010,0.002,0.065,0.006,0.029,0.002,0.003,0.002,0.001,0.007,0.017,0.059,0.015,0.004,0.009,0.059,0.044,0.006,0.023,0.027,0.006,0.004,0.053,0.010,0.036,0.014,0.001,0.002,0.010,0.019,0.005,0.019,0.004,0.002,0.060,0.002
Donald Anderson,Labour,False,0.004,0.008,0.005,0.001,0.018,0.008,0.007,0.003,0.006,0.014,0.024,0.017,0.017,0.007,0.005,0.012,0.042,0.008,0.079,0.004,0.014,0.004,0.005,0.003,0.003,0.004,0.017,0.030,0.030,0.005,0.015,0.071,0.034,0.014,0.015,0.014,0.013,0.005,0.097,0.004,0.018,0.017,0.001,0.007,0.027,0.036,0.008,0.014,0.016,0.003,0.048,0.003
Janet Anderson,Labour,True,0.010,0.002,0.005,0.000,0.015,0.001,0.008,0.052,0.019,0.047,0.022,0.007,0.029,0.003,0.001,0.014,0.012,0.014,0.002,0.015,0.033,0.022,0.003,0.000,0.004,0.009,0.015,0.004,0.056,0.011,0.017,0.039,0.032,0.009,0.011,0.058,0.009,0.023,0.006,0.006,0.030,0.018,0.002,0.042,0.011,0.001,0.002,0.010,0.036,0.000,0.051,0.009
James Arbuthnot,Conservative,False,0.009,0.005,0.006,0.001,0.014,0.008,0.006,0.003,0.005,0.034,0.018,0.005,0.012,0.001,0.002,0.015,0.002,0.006,0.050,0.006,0.014,0.010,0.002,0.003,0.002,0.032,0.019,0.003,0.015,0.013,0.020,0.050,0.030,0.008,0.004,0.013,0.015,0.015,0.026,0.005,0.019,0.025,0.001,0.007,0.021,0.218,0.007,0.008,0.008,0.005,0.068,0.006
Hilary Armstrong,Labour,True,0.010,0.006,0.001,0.000,0.025,0.004,0.007,0.000,0.003,0.021,0.019,0.118,0.002,0.000,0.002,0.023,0.002,0.002,0.001,0.010,0.010,0.011,0.003,0.001,0.002,0.003,0.010,0.006,0.024,0.001,0.013,0.037,0.060,0.018,0.008,0.116,0.002,0.042,0.007,0.064,0.034,0.030,0.014,0.004,0.029,0.001,0.010,0.010,0.006,0.001,0.043,0.046
Paddy Ashdown,Liberal Democrat,False,0.015,0.011,0.003,0.001,0.008,0.027,0.005,0.002,0.004,0.014,0.032,0.009,0.004,0.002,0.002,0.014,0.005,0.003,0.043,0.005,0.013,0.005,0.005,0.001,0.002,0.009,0.011,0.036,0.012,0.008,0.007,0.062,0.032,0.006,0.015,0.009,0.025,0.006,0.092,0.028,0.022,0.029,0.002,0.007,0.041,0.050,0.030,0.022,0.016,0.006,0.064,0.003
Joe Ashton,Labour,False,0.002,0.003,0.002,0.001,0.040,0.005,0.004,0.025,0.027,0.010,0.034,0.015,0.025,0.004,0.002,0.011,0.008,0.012,0.004,0.001,0.008,0.014,0.006,0.002,0.001,0.005,0.016,0.007,0.023,0.019,0.012,0.019,0.014,0.007,0.020,0.001,0.038,0.012,0.004,0.008,0.037,0.039,0.000,0.030,0.006,0.003,0.010,0.024,0.076,0.001,0.029,0.014
Candy Atherton,Labour,True,0.009,0.005,0.001,0.000,0.012,0.004,0.009,0.005,0.010,0.014,0.014,0.017,0.011,0.004,0.002,0.007,0.014,0.014,0.001,0.008,0.001,0.009,0.031,0.000,0.004,0.005,0.003,0.003,0.107,0.017,0.008,0.024,0.017,0.047,0.003,0.012,0.025,0.091,0.020,0.022,0.011,0.016,0.002,0.048,0.013,0.008,0.002,0.002,0.037,0.003,0.029,0.006
Charlotte Atkins,Labour,True,0.006,0.002,0.000,0.000,0.004,0.002,0.003,0.004,0.006,0.012,0.006,0.020,0.002,0.029,0.001,0.006,0.020,0.005,0.001,0.025,0.002,0.107,0.022,0.001,0.001,0.001,0.004,0.002,0.078,0.012,0.002,0.005,0.005,0.023,0.005,0.086,0.006,0.042,0.007,0.082,0.017,0.012,0.010,0.028,0.028,0.001,0.002,0.004,0.020,0.000,0.005,0.029
David Atkinson,Conservative,False,0.014,0.014,0.003,0.002,0.020,0.007,0.009,0.006,0.020,0.022,0.026,0.029,0.010,0.002,0.001,0.015,0.009,0.016,0.097,0.012,0.004,0.051,0.003,0.001,0.002,0.005,0.020,0.012,0.023,0.012,0.012,0.050,0.017,0.006,0.007,0.028,0.012,0.007,0.076,0.016,0.019,0.018,0.001,0.017,0.007,0.023,0.006,0.006,0.023,0.005,0.010,0.006
