"name","constituency","term_start","term_end","party","byelection","notes","clean_name","stream"
"Constance, Countess MARKIEVICZ","Dublin, St Patrick's",1918-12-14,1922-01-01,"SF",FALSE,"Did not take seat","constancemarkievicz",1
"Nancy, Viscountess ASTOR, CH","Plymouth, Sutton",1919-11-15,1945-01-01,"Con",TRUE,NA,"nancyastorch",2
"Mrs Margaret WINTRINGHAM","Lincolnshire, Louth",1921-09-22,1924-01-01,"Lib",TRUE,NA,"margaretwintringham",3
"Mrs Mabel PHILIPSON","Berwick-upon-Tweed",1923-05-31,1929-01-01,"Con",TRUE,NA,"mabelphilipson",1
"Katharine, Duchess of ATHOLL, DBE","Perth & Kinross, Kinross & Western",1923-12-06,1938-01-01,"Con",FALSE,NA,"katharineduchessofatholldbe",4
"Rt Hon Margaret BONDFIELD, CH","Northampton",1923-12-06,1924-01-01,"Lab",FALSE,"(First woman Cabinet Minister)","margaretbondfieldch",5
"Miss Dorothea JEWSON","Norwich",1923-12-06,1924-01-01,"Lab",FALSE,NA,"dorotheajewson",6
"Miss Arabella Susan LAWRENCE","East Ham, North",1923-12-06,1924-01-01,"Lab",FALSE,NA,"arabellasusanlawrence",7
"Lady Vera TERRINGTON","Buckinghamshire, Wycombe",1923-12-06,1924-01-01,"Lib",FALSE,NA,"veraterrington",8
"Rt Hon Ellen WILKINSON","Middlesbrough, East",1924-10-29,1931-01-01,"Lab",FALSE,NA,"ellenwilkinson",3
"Rt Hon Margaret BONDFIELD, CH","Wallsend",1926-01-01,1931-01-01,"Lab",TRUE,"(First woman Cabinet Minister)","margaretbondfieldch",5
"Miss Arabella Susan LAWRENCE","East Ham, North",1926-01-01,1931-01-01,"Lab",TRUE,NA,"arabellasusanlawrence",6
"Gwendolen, Countess of IVEAGH, CBE","Southend-on-Sea",1927-11-19,1935-01-01,"Con",TRUE,NA,"gwendolenofiveaghcbe",7
"Hilda RUNCIMAN (later Viscountess)","Cornwall, St Ives",1928-03-06,1929-01-01,"Lib",TRUE,NA,"hildarunciman(later)",8
"Mrs Florence DALTON","Durham, Bishop Auckland",1929-02-07,1929-01-01,"Lab",TRUE,NA,"florencedalton",1
"Rt Hon Miss Jennie LEE (Mrs A Bevan)","Lanarkshire, Northern",1929-03-21,1931-01-01,"Lab",TRUE,NA,"jennielee(abevan)",1
"Dr Ethel BENTHAM","Islington, East",1929-05-30,1931-01-01,"Lab",FALSE,NA,"ethelbentham",8
"Mrs Mary HAMILTON,","Blackburn",1929-05-30,1931-01-01,"Lab",FALSE,NA,"maryhamilton",9
"Lady Megan LLOYD GEORGE","Anglesey",1929-05-30,1951-01-01,"Lib",FALSE,NA,"meganlloydgeorge",10
"Lady Cynthia MOSLEY","Stoke-on-Trent, Stoke",1929-05-30,1931-01-01,"Lab",FALSE,NA,"cynthiamosley",11
"Dr Marion PHILLIPS","Sunderland",1929-05-30,1931-01-01,"Lab",FALSE,NA,"marionphillips",12
"Miss Edith PICTON-TURBERVILL, OBE","Shropshire, The Wrekin",1929-05-30,1931-01-01,"Lab",FALSE,NA,"edithpictonturbervillobe",13
"Miss Eleanor RATHBONE","Combined English Universities",1929-05-30,1946-01-01,"Ind",FALSE,NA,"eleanorrathbone",14
