"Year","Total"
1918-01-01,0
1918-07-01,0
1919-01-01,1
1919-07-01,1
1920-01-01,2
1920-07-01,2
1921-01-01,2
1921-07-01,2
1922-01-01,3
1922-07-01,3
1923-01-01,2
1923-07-01,3
1924-01-01,8
1924-07-01,8
1925-01-01,4
1925-07-01,4
1926-01-01,4
1926-07-01,6
1927-01-01,6
1927-07-01,6
1928-01-01,7
1928-07-01,8
1929-01-01,8
1929-07-01,14
1930-01-01,14
1930-07-01,14
1931-01-01,15
1931-07-01,16
1932-01-01,15
1932-07-01,15
1933-01-01,15
1933-07-01,15
1934-01-01,15
1934-07-01,14
1935-01-01,14
1935-07-01,14
1936-01-01,9
1936-07-01,9
1937-01-01,9
1937-07-01,10
1938-01-01,11
1938-07-01,11
1939-01-01,12
1939-07-01,12
1940-01-01,12
1940-07-01,12
1941-01-01,12
1941-07-01,13
1942-01-01,13
1942-07-01,13
1943-01-01,13
1943-07-01,14
1944-01-01,14
1944-07-01,14
1945-01-01,14
1945-07-01,14
1946-01-01,24
1946-07-01,21
1947-01-01,22
1947-07-01,21
1948-01-01,21
1948-07-01,21
1949-01-01,22
1949-07-01,22
1950-01-01,22
1950-07-01,21
1951-01-01,21
1951-07-01,21
1952-01-01,17
1952-07-01,17
1953-01-01,17
1953-07-01,19
1954-01-01,21
1954-07-01,21
1955-01-01,21
1955-07-01,24
1956-01-01,24
1956-07-01,24
1957-01-01,25
1957-07-01,27
1958-01-01,27
1958-07-01,28
1959-01-01,28
1959-07-01,28
1960-01-01,25
1960-07-01,25
1961-01-01,26
1961-07-01,25
1962-01-01,25
1962-07-01,25
1963-01-01,25
1963-07-01,25
1964-01-01,25
1964-07-01,25
1965-01-01,28
1965-07-01,28
1966-01-01,28
1966-07-01,25
1967-01-01,25
1967-07-01,25
1968-01-01,26
1968-07-01,26
1969-01-01,26
1969-07-01,26
1970-01-01,26
1970-07-01,26
1971-01-01,26
1971-07-01,26
1972-01-01,26
1972-07-01,26
1973-01-01,26
1973-07-01,27
1974-01-01,28
1974-07-01,24
1975-01-01,28
1975-07-01,28
1976-01-01,28
1976-07-01,28
1977-01-01,29
1977-07-01,28
1978-01-01,28
1978-07-01,28
1979-01-01,28
1979-07-01,19
1980-01-01,19
1980-07-01,19
1981-01-01,19
1981-07-01,20
1982-01-01,20
1982-07-01,21
1983-01-01,23
1983-07-01,23
1984-01-01,23
1984-07-01,25
1985-01-01,25
1985-07-01,25
1986-01-01,25
1986-07-01,26
1987-01-01,27
1987-07-01,41
1988-01-01,41
1988-07-01,41
1989-01-01,41
1989-07-01,42
1990-01-01,42
1990-07-01,43
1991-01-01,44
1991-07-01,44
1992-01-01,44
1992-07-01,60
1993-01-01,60
1993-07-01,59
1994-01-01,60
1994-07-01,62
1995-01-01,62
1995-07-01,63
1996-01-01,63
1996-07-01,63
1997-01-01,63
1997-07-01,121
1998-01-01,121
1998-07-01,121
1999-01-01,121
1999-07-01,121
2000-01-01,121
2000-07-01,121
2001-01-01,120
2001-07-01,118
2002-01-01,118
2002-07-01,118
2003-01-01,118
2003-07-01,118
2004-01-01,119
2004-07-01,119
2005-01-01,119
2005-07-01,127
2006-01-01,127
2006-07-01,126
2007-01-01,126
2007-07-01,126
2008-01-01,126
2008-07-01,125
2009-01-01,125
2009-07-01,125
2010-01-01,126
2010-07-01,143
2011-01-01,143
2011-07-01,144
2012-01-01,145
2012-07-01,144
2013-01-01,146
2013-07-01,147
2014-01-01,147
2014-07-01,147
2015-01-01,148
2015-07-01,191
2016-01-01,191
2016-07-01,192
2017-01-01,195
2017-07-01,207
2018-01-01,207
2018-07-01,207
2019-01-01,207
2019-07-01,207
2020-01-01,207
