id,full_name,party,gender,state,district,congressional terminology_x,congressional terminology_y,government budget_x,government budget_y,agriculture_x,agriculture_y,border enforcement_x,border enforcement_y,trade policy_x,trade policy_y,military_x,military_y,foreign policy_x,foreign policy_y,financial sector_x,financial sector_y,iraq & afghanistan wars_x,iraq & afghanistan wars_y,sports_x,sports_y,drugs war_x,drugs war_y,veteran affairs_x,veteran affairs_y,energy policy_x,energy policy_y,tobacco_x,tobacco_y,african-americans_x,african-americans_y,environment_x,environment_y,infrastructure & transportation_x,infrastructure & transportation_y,arts_x,arts_y,human rights in china_x,human rights in china_y,secondary education_x,secondary education_y,homeland security_x,homeland security_y,natural disasters_x,natural disasters_y,affordable housing_x,affordable housing_y,worker's rights_x,worker's rights_y,child welfare_x,child welfare_y,healthcare_x,healthcare_y
A000014,Neil Abercrombie,Democrat,0,HI,1st,-26.063,34.714,-4.895,6.191,-107.816,0.760,-32.494,2.454,-39.052,1.880,-5.000,14.357,-3.000,7.503,-146.914,0.523,-41.005,1.594,-212.818,0.429,-402.126,0.319,-1.000,4.907,-89.670,1.345,-9.692,0.208,-23.093,3.672,-4.067,2.672,-162.239,0.615,-1019.272,0.000,-76.254,1.134,-88.922,0.819,-43.685,1.899,-37.167,0.636,-172.347,0.717,-117.769,1.480,-255.473,0.623,-6.822,9.042
A000022,Gary Ackerman,Democrat,0,NY,5th,-9.000,12.214,-15.311,0.678,-59.012,1.380,-16.139,1.880,-14.321,3.465,-50.666,2.667,-9.000,17.786,-77.765,0.938,-40.703,1.815,-136.928,1.058,-6.220,0.506,-29.954,6.215,-62.320,0.452,-100.111,0.214,-2.724,4.867,-60.256,1.187,-2.463,0.854,-471.463,0.275,-27.008,1.861,-23.812,2.151,-84.926,2.786,-71.987,1.313,-522.700,0.274,-153.841,0.802,-79.293,0.584,-6.453,8.616
A000069,Daniel Akaka,Democrat,0,HI,2nd,-18.999,39.857,-15.841,0.014,-42.675,0.910,-144.411,0.301,-58.919,0.186,-76.010,0.643,-42.371,3.442,-87.347,0.000,-131.749,0.663,-113.220,0.000,-268.267,0.371,-3.413,8.966,-23.913,1.027,-163.879,0.000,-11.564,0.207,-1.000,6.644,-3.000,6.214,-171.728,0.000,-14.607,0.000,-36.111,0.176,-5.000,13.286,-58.373,0.949,-39.294,0.000,-136.648,0.336,-62.429,0.000,-9.000,19.500
A000209,Michael Andrews,Democrat,0,TX,25th,-10.998,21.000,-41.237,4.110,-86.323,0.427,-14.258,1.945,-1.000,10.071,-28.459,1.296,-60.338,2.214,-2.996,3.642,-16.143,1.871,-51.542,0.180,-466.717,0.000,-17.903,3.510,-15.735,1.988,-649.736,0.000,-3.000,19.500,-17.860,3.923,-113.053,1.324,-956.517,0.115,-116.317,0.651,-9.224,2.184,-39.502,0.317,-91.305,1.236,-21.011,1.637,-24.318,2.552,-93.248,0.000,-1.000,49.071
A000210,Robert Andrews,Democrat,0,NJ,1st,-12.999,36.214,-2.951,6.902,-15.413,0.506,-23.026,1.020,-58.671,1.313,-29.389,4.399,-2.880,6.196,-108.912,1.641,-45.110,1.324,-34.554,1.104,-135.425,0.366,-5.091,5.402,-25.943,1.007,-114.247,0.315,-73.275,2.137,-35.564,0.790,-46.627,0.531,-109.427,0.371,-227.512,0.455,-2.158,3.551,-16.889,2.644,-120.291,0.766,-453.835,0.116,-39.067,3.051,-60.797,1.486,-6.998,15.429
A000211,Thomas Andrews,Democrat,0,ME,1st,-12.999,20.357,-12.973,9.639,-53.242,0.646,-1.000,0.334,-1.491,4.286,-3.000,33.857,-32.379,2.063,-42.076,0.150,-173.809,0.986,-116.541,0.463,-2.587,0.227,-27.397,0.814,-91.067,0.101,-6.213,0.000,-1.000,2.957,-40.038,1.611,-35.052,3.118,-6.839,0.000,-125.473,0.000,-75.654,0.311,-4.217,0.000,-27.168,1.662,-103.486,0.687,-101.930,1.121,-5.478,0.000,-16.599,2.945
A000214,Douglas Applegate,Democrat,0,OH,18th,-1.000,18.659,-32.635,3.246,-252.068,0.555,-54.059,2.337,-24.781,3.857,-49.143,1.033,-37.862,0.206,-7.225,0.000,-64.714,0.368,-101.642,0.184,-98.329,0.637,-25.032,8.353,-19.854,0.547,-7.955,0.100,-18.552,6.430,-30.635,3.641,-5.000,6.000,-8.576,0.103,-57.172,1.290,-5.157,0.000,-6.794,0.204,-276.667,0.519,-82.115,0.000,-80.825,0.478,-6.832,0.131,-3.000,0.214
A000357,Thomas Allen,Democrat,0,ME,1st,-20.395,19.500,-4.999,11.571,-113.435,0.984,-68.716,0.453,-19.301,2.441,-9.000,8.571,-15.866,2.072,-39.330,0.653,-29.306,2.513,-50.540,0.367,-70.583,0.487,-9.699,1.912,-27.566,2.852,-391.572,0.361,-30.242,0.658,-8.835,3.750,-58.769,0.493,-770.083,0.000,-37.092,0.309,-57.016,1.864,-25.954,1.432,-15.441,0.761,-46.191,0.623,-31.693,1.596,-7.441,2.288,-3.000,56.143
A000362,Jason Altmire,Democrat,0,PA,4th,-14.663,10.238,-3.000,13.286,-273.030,0.282,-81.429,0.982,-94.586,0.589,-30.079,2.410,-60.843,0.591,-83.781,1.507,-6.819,2.942,-22.170,2.530,-202.971,0.107,-10.938,9.641,-3.000,6.857,-525.460,0.299,-28.008,2.143,-143.485,0.815,-13.827,2.488,-532.894,0.000,-506.308,0.000,-84.229,1.852,-22.024,2.813,-148.918,0.507,-165.138,0.578,-17.940,1.389,-148.720,0.980,-1.000,21.857
A000363,Michael Arcuri,Democrat,0,NY,24th,-18.443,33.214,-18.540,3.415,-9.702,1.062,-115.482,0.149,-180.671,0.241,-8.865,4.510,-80.071,0.515,-75.082,1.430,-26.846,3.020,-29.463,2.678,-565.632,0.346,-9.537,7.062,-14.991,4.069,-240.078,0.000,-40.808,1.317,-1.000,2.937,-7.856,3.326,-252.611,0.011,-209.873,0.045,-147.272,1.071,-1.000,9.218,-129.527,1.183,-16.136,1.263,-53.678,2.298,-177.723,0.726,-29.040,6.830
