id,name,district,term_start,term_end,party,clean_name,stream
R000055,Jeannette Rankin,Montana at-large,1917-03-04,1919-03-04,Republican,jeannetterankin,1
R000318,Alice Robertson,Oklahoma's 2nd,1921-03-04,1923-03-04,Republican,alicemaryrobertson,1
H000900,Winnifred Huck,Illinois at-large,1922-11-07,1923-03-04,Republican,winnifredspraguemasonhuck,2
N000125,Mae Nolan,California's 5th,1923-01-23,1925-03-04,Republican,maenolan,3
K000002,Florence Kahn,California's 4th,1925-03-04,1937-01-03,Republican,florencepragkahn,1
N000153,Mary Norton,New Jersey's 12th,1925-03-04,1933-03-04,Democratic,maryteresanorton,2
R000392,Edith Rogers,Massachusetts's 5th,1925-06-30,1960-09-10,Republican,edithnourserogers,3
L000073,Katherine G. Langley,Kentucky's 7th,1927-03-04,1931-03-04,Republican,katherineglangley,4
O000061,Pearl Oldfield,Arkansas's 2nd,1929-01-09,1931-03-04,Democratic,pearlpedenoldfield,5
M000372,Ruth McCormick,Illinois at-large,1929-03-04,1931-03-04,Republican,ruthhannamccormick,6
O000154,Ruth Owen,Florida's 4th,1929-03-04,1933-03-04,Democratic,ruthbryanowen,7
P000505,Ruth Pratt,New York's 17th,1929-03-04,1933-03-04,Republican,ruthbakerpratt,8
W000634,Effiegene Wingo,Arkansas's 4th,1930-11-04,1933-03-04,Democratic,effiegenelockewingo,9
E000217,Willa Eslick,Tennessee's 7th,1932-08-14,1933-03-04,Democratic,willamccordblakeeslick,4
O000081,Kathryn O'Loughlin-McCarthy,Kansas's 6th,1933-03-04,1935-01-03,Democratic,kathryno27loughlinmccarthy,2
J000077,Virginia E. Jenckes,Indiana's 6th,1933-03-04,1939-01-03,Democratic,virginiaejenckes,4
N000153,Mary Norton,New Jersey's 13th,1933-03-04,1951-01-03,Democratic,maryteresanorton,5
G000435,Isabella Greenway,Arizona at-large,1933-10-02,1937-01-03,Democratic,isabellagreenway,6
C000467,Marian W. Clarke,New York's 34th,1933-12-28,1935-01-03,Republican,marianwclarke,7
O000033,Caroline O'Day,New York at-large,1935-01-03,1943-01-03,Democratic,carolinelovegoodwino27day,2
H000754,Nan Honeyman,Oregon's 3rd,1937-01-03,1939-01-03,Democratic,nanwoodhoneyman,1
