mp_name,body,date,debate_title,mp_id,business,immigration,counter terrorism,syria,private housing,banking,tribunal,bbc,police force,parliamentary terms,secretary of state terms,local authority,domestic violence,airport and rail expansion,scotland,parliamentary terms+,single market (?),drugs and alcohol,middle east,care quality commission,speaker of the house,nhs,farming,law,development & climate change,fishing industry,inquiries & reports,northern ireland,construction,animal welfare,fraud terminology,legislation,bill terminology,regional stuff,elections,local services,energy,welfare reforms,european union,education,money-related terms,pensioner income,child poverty,sports & culture,investment,armed forces,economy,house of lords,employee's rights,nuclear weapons,parliamentary terms++,child care
Caroline Lucas,"The right hon. Gentleman said a moment ago that the great repeal Bill will give us some certainty, so may I ask him for certainty on environmental legislation in particular? Even when EU legislation has been enshrined in UK law, we need to know, first, the extent to which any future changes to environmental safeguards will be subject to parliamentary scrutiny and vote; and, secondly, what kind of accountability mechanisms he imagines will be in place. Once we are out of the EU, we lose access to the European Court of Justice and the Commission. How will that environmental legislation become judiciable? I am sure that, like me, the hon. and learned Gentleman welcomes the half U-turn from the Government, allowing a debate before article 50 is invoked, but what about an actual vote? I am concerned that the amendment does not mention a vote in this House before article 50 is triggered, and that is crucial.",2016-10-12 00:00:00,Parliamentary Scrutiny of Leaving the EU,24910,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.69,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.88,-inf,-inf,-inf,-inf,-inf,-inf,-0.34,-inf,-inf,-0.97,-inf,-inf,-inf,-1.10,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Caroline Lucas,"On a point of order, Mr Speaker. I am grateful to you, Mr Speaker. I know that colleagues will want to get on with the main business, but I wish to raise a brief point of order.The Justice and Security Bill goes to the other place for its final stages tomorrow, but this House has still not been informed whether the introduction of secret courts affects habeas corpus. Indeed, the House has had no fewer than four different answers from the Minister without Portfolio, ranging from “yes”, “no” and “not sure” to “I’ll check”. Will you rule, Mr Speaker, on whether the Minister without Portfolio should come back to the House before the Bill gets its Royal Assent to tell us what the right answer is?",2013-03-25 00:00:00,Succession to Hereditary Peerages and Estates,24910,-inf,-inf,-0.79,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.95,-inf,-1.11,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.36,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Caroline Lucas,"The offer of 20,000 refugees over five years amounts to just 12 refugees a day, which falls pitifully short of what is needed and of what people in this country deserve and expect. Local authorities such as Brighton and Hove’s would be very willing to accept more, provided the Government fully resource this. Will the Prime Minister therefore guarantee the funds—not from the aid budget—and, crucially, that they will last for more than one year, so that people who want to act to help this crisis can be enabled to do so?",2015-09-07 00:00:00,Oral Answers to Questions &#8212; Work and Pensions: Syria: Refugees and Counter-terrorism,24910,-inf,-0.91,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.56,-1.14,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.67,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.15,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Caroline Lucas,"What changes he proposes to make to the Warm Front scheme to ensure that it meets the needs of vulnerable fuel-poor households. Warm Front funding is to be reduced from £345 million to £110 million by next year-that is a 68% cut. The Government's plans to try to bridge the gap are likely to be funded through a levy on consumer bills, but that does not take into account the fact that this perversely hits the fuel poor hardest. What account has the Secretary of State taken of the Government's own figures, which estimate that although options such as an extension of CERT-the carbon emissions reduction target-might take between 21,000 and 31,000 households out of fuel poverty, the impact via increased fuel bills is that it results in 70,000 to 150,000 households being put into fuel poverty?",2010-11-11 00:00:00,Energy and Climate Change: Warm Front Scheme,24910,-inf,-inf,-inf,-inf,-0.90,-inf,-inf,-inf,-inf,-inf,-inf,-1.02,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.32,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.36,-1.26,-inf,-0.72,-inf,-inf,-inf,-0.47,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Caroline Lucas,"Building on the right hon. Lady’s point, does she agree that it is not only inhumane for doctors not to treat people with serious illnesses, but counter-productive? If somebody is here with a communicable illness, it is counter-productive for doctors not to treat them. This is just a nasty policy and a case of blaming foreigners to distract from the Government’s £20 billion of cuts to the NHS and the cost of reorganisation. Given that the figures show that first-instance decision making is very poor in this regard, with 42% of family visit visas and 51% of entry clearance applications successfully appealed last year, does the right hon. Lady agree that it would be better to focus on getting the system right than on eroding appeal rights against immigration decisions?",2013-10-22 00:00:00,Descendants of Deceased Adopted People (Access to Information): Immigration Bill,24910,-inf,-0.71,-inf,-inf,-inf,-inf,-0.81,-inf,-inf,-0.84,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.54,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.89,-inf,-1.69,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Caroline Lucas,"I genuinely very much welcome the Minister’s support for the sixth-form sector and sixth-form colleges, but he has been speaking for nearly 10 minutes and has said nothing about the arbitrary funding that has been the focus of so much of the concern expressed on both sides of the House. Will he commit to look at this funding issue? Will the Government look at how much funding is required for the rounded curriculum that sixth-form colleges want to deliver? Colleges in my constituency, such as Varndean College and Brighton, Hove & Sussex Sixth Form College, are desperate to deliver it but are being undermined by the lack of funding, which the Minister still has not really addressed. The hon. Gentleman is making an incredibly powerful case. On the issue of underfunding, does he agree that sixth-form colleges are uniquely cruelly treated, because unlike schools and academies they cannot cross-subsidise from the more generous funding available for younger students in schools and they do not receive a VAT reimbursement? So not only are they the most efficient, with the best track record on delivery, but they are the most underfunded section of the higher education area.",2017-01-09 00:00:00,Technical and Further Education Bill: Sixth-form Education: International Comparisons,24910,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.62,-inf,-inf,-inf,-1.92,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.28,-1.68,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.66,-inf,-1.07,-inf
Caroline Lucas,"I echo the deep concerns about the condition of children in the camps. More generally, will the Home Secretary acknowledge that the Government’s approach is leading to a toxic, two-tier system focused on distinguished between “good” refugees and “bad” economic migrants, even if they are fleeing equally desperate situations? Can she say whether an adult who fled Afghanistan, faced mistreatment in Iran, travelled through Turkey, where he had no chance to work, and is now trapped in Calais, desperately trying to meet his brother in the UK, would be defined as a migrant or a refugee?",2016-10-10 00:00:00,Calais Jungle,24910,-inf,-0.59,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.27,-1.32,-0.44,-inf,-inf,-inf,-inf,-inf,-1.21,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.87
Caroline Lucas,"rose— I am grateful to the hon. Lady for giving way, particularly as she has made such great inroads on this subject; I commend her for that. Does she agree that it is completely unacceptable, particularly in the context she has set out, that any reform the Government introduce should make sick people even worse off? That seems to be the height of injustice. One of my constituents will lose £500 a month, and another, Graham Manning, is in the Gallery today. They need to see that justice is being done. That has to be a bottom line.",2016-04-12 00:00:00,Contaminated Blood,24910,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.41,-inf,-0.50,-inf,-inf,-1.20,-inf,-inf,-inf,-inf,-inf,-1.32,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.47,-1.12,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Caroline Lucas,"What recent assessment he has made of the availability of affordable housing in Brighton and Hove. In spite of national constraints, the Green administration in Brighton has overseen the development of more than 500 affordable homes, with a further 230 in the pipeline, and has built the first council homes in a generation. Brighton council and councils around the country could do much more if the Government would provide direct capital grant funding. Will the Minister reconsider that and meet my constituents to discuss proposals we have put together in a local housing charter to promote fairer rents and more affordable homes?",2014-11-10 00:00:00,Oral Answers to Questions &#8212; Communities and Local Government: Affordable Housing,24910,-inf,-inf,-inf,-inf,-0.66,-inf,-inf,-1.51,-inf,-inf,-inf,-0.59,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.60,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.11,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
Caroline Lucas,"rose— The hon. Gentleman makes a powerful case about how betting shops and fixed odds betting terminals are proliferating in some of our most deprived areas. We have 70 FOBTs in Brighton, Pavilion alone. Does he share my concern that some betting shops are now cutting the hourly wages of their staff, but offering them the chance to make up the loss if they can increase the profit from the machines? Is not that completely unacceptable?",2014-01-08 00:00:00,Opposition Day &#8212; [16th Allotted Day] &#8212; Housing: Fixed Odds Betting Terminals,24910,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-1.06,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.45,-inf,-inf,-inf
