"date","women_parliament","country"
1990-01-01,20.6,"Iceland"
1991-01-01,20.6,"Iceland"
1992-01-01,20.6,"Iceland"
1993-01-01,20.6,"Iceland"
1994-01-01,20.6,"Iceland"
1995-01-01,20.6,"Iceland"
1996-01-01,20.6,"Iceland"
1997-01-01,25.4,"Iceland"
1998-01-01,25.4,"Iceland"
1999-01-01,34.9,"Iceland"
2000-01-01,34.9,"Iceland"
2001-01-01,34.9,"Iceland"
2002-01-01,34.9,"Iceland"
2003-01-01,30.2,"Iceland"
2004-01-01,30.2,"Iceland"
2005-01-01,33.3,"Iceland"
2006-01-01,33.3,"Iceland"
2007-01-01,33.3,"Iceland"
2008-01-01,33.3,"Iceland"
2009-01-01,42.9,"Iceland"
2010-01-01,42.9,"Iceland"
2011-01-01,39.7,"Iceland"
2012-01-01,39.7,"Iceland"
2013-01-01,39.7,"Iceland"
2014-01-01,39.7,"Iceland"
2015-01-01,41.3,"Iceland"
2016-01-01,47.6,"Iceland"
2017-01-01,47.6,"Iceland"
2018-01-01,38.1,"Iceland"
1990-01-01,38.4,"Sweden"
1991-01-01,38.4,"Sweden"
1992-01-01,38.4,"Sweden"
1993-01-01,38.4,"Sweden"
1994-01-01,38.4,"Sweden"
1995-01-01,38.4,"Sweden"
1996-01-01,38.4,"Sweden"
1997-01-01,40.4,"Sweden"
1998-01-01,40.4,"Sweden"
1999-01-01,42.7,"Sweden"
2000-01-01,42.7,"Sweden"
2001-01-01,42.7,"Sweden"
2002-01-01,45,"Sweden"
2003-01-01,45.3,"Sweden"
2004-01-01,45.3,"Sweden"
2005-01-01,45.3,"Sweden"
2006-01-01,47.3,"Sweden"
2007-01-01,47,"Sweden"
2008-01-01,47,"Sweden"
2009-01-01,46.4,"Sweden"
2010-01-01,45,"Sweden"
2011-01-01,44.7,"Sweden"
2012-01-01,44.7,"Sweden"
2013-01-01,44.7,"Sweden"
2014-01-01,44.7,"Sweden"
2015-01-01,43.6,"Sweden"
2016-01-01,43.6,"Sweden"
2017-01-01,43.6,"Sweden"
2018-01-01,43.6,"Sweden"
1990-01-01,12,"Mexico"
1991-01-01,12,"Mexico"
1992-01-01,12,"Mexico"
1993-01-01,12,"Mexico"
1994-01-01,12,"Mexico"
1995-01-01,12,"Mexico"
1996-01-01,12,"Mexico"
1997-01-01,14.2,"Mexico"
1998-01-01,17.4,"Mexico"
1999-01-01,18.2,"Mexico"
2000-01-01,16,"Mexico"
2001-01-01,16,"Mexico"
2002-01-01,16,"Mexico"
2003-01-01,22.6,"Mexico"
2004-01-01,22.6,"Mexico"
2005-01-01,24.2,"Mexico"
2006-01-01,22.6,"Mexico"
2007-01-01,23.2,"Mexico"
2008-01-01,23.2,"Mexico"
2009-01-01,27.6,"Mexico"
2010-01-01,26.2,"Mexico"
2011-01-01,26.2,"Mexico"
2012-01-01,36.8,"Mexico"
2013-01-01,36.8,"Mexico"
2014-01-01,37.4,"Mexico"
