id,clean_name,wikidata_id
10001,diane abbott,Q153454
10003,irene adams,Q334498
10012,janet anderson,Q4935679
10014,hilary armstrong,Q332660
10017,candy atherton,Q337833
10018,charlotte atkins,Q4936901
10024,jackie ballard,Q6116208
10031,margaret jackson,Q232639
10032,anne begg,Q260876
10046,liz blackman,Q4939430
10048,hazel blears,Q264023
10054,betty boothroyd,Q333722
10058,virginia bottomley,Q332696
10072,angela browning,Q532347
10075,karen buck,Q266238
10081,christine butler,Q5110952
10087,anne campbell,Q4768207
10104,judith church,Q6303339
10109,helen clark,Q4940673
10110,lynda clark,Q336111
10120,ann clwyd,Q285249
10122,ann coffey,Q286043
10131,yvette cooper,Q291057
10135,jean corston,Q334443
10142,ann cryer,Q4766346
10148,roseanna cunningham,Q333953
10150,claire curtis-thomas,Q4943807
10156,valerie davey,Q4944283
10166,janet dean,Q4944413
10178,julia drown,Q15525275
10181,gwyneth dunwoody,Q334006
10182,angela eagle,Q302763
10183,maria eagle,Q302815
10186,louise ellman,Q303253
10191,margaret bain,Q333903
10200,lorna fitzsimons,Q545964
10202,caroline flint,Q251095
10204,barbara follett,Q660827
10215,maria fyfe,Q15047180
10228,cheryl gillan,Q333852
10229,linda gilroy,Q6551595
10233,llin golding,Q1866867
10235,eileen gordon,Q5349373
10236,teresa gorman,Q7702150
10244,jane griffiths,Q6152317
10260,harriet harman,Q234182
10266,sylvia heal,Q7660931
10278,patricia hewitt,Q332799
10281,margaret hodge,Q688913
10282,kate hoey,Q689166
10296,beverley hughes,Q775059
10299,joan humble,Q6205153
10308,glenda jackson,Q182408
10309,helen jackson,Q5702525
10315,melanie johnson,Q6811295
10318,fiona jones,Q5451069
10319,helen jones,Q750421
10321,jenny jones,Q16121348
10323,lynne jones,Q6709370
10326,tessa jowell,Q272642
10328,sally keeble,Q7405184
10330,ann keen,Q4766483
10332,ruth kelly,Q272644
10335,jane kennedy,Q6152441
10341,oona king,Q256225
10343,tess kingham,Q7705570
10344,julie kirkbride,Q682694
10348,eleanor laing,Q750188
10350,jackie lawrence,Q6116474
10360,helen liddell,Q334128
10378,chris mccafferty,Q4966571
10381,siobhain mcdonagh,Q694759
10388,anne mcguire,Q584320
10389,anne mcintosh,Q544947
10390,shona mcisaac,Q7500345
10392,rosemary mckenna,Q373814
10402,fiona mactaggart,Q695047
10407,alice mahon,Q4725980
10410,judy mallaber,Q6304520
10426,theresa may,Q264766
